company,job,degree,salary_more_than_100k
google,sales excutive,bachelors,0
google,sales excutive,masters,0
google,business manager,bachelors,1
google,business manager,masters,1
google,computer programmer,bachelors,0
google,computer programmer,masters,1
abc pharma,sales excutive,masters,1
abc pharma,computer programmer,bachelors,0
abc pharma,business manager,bachelors,0
abc pharma,business manager,masters,0
facebook,business manager,bachelors,1
facebook,sales excutive,bachelors,1
facebook,sales excutive,masters,1
facebook,business manager,bachelors,1
facebook,business manager,masters,1
facebook,computer programmer,bachelors,1
facebook,computer programmer,masters,1
